# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.59351,-143.637722,5.783,5.746
-5.764076,-133.643809,5.663,5.7
-5.872012,-123.650002,5.543,5.654
-5.912576,-113.656113,5.424,5.608
-5.88886,-103.66193,5.304,5.562
-5.80396,-93.667241,5.322,5.593
-5.660441,-83.671891,5.343,5.626
-5.448835,-73.677031,5.364,5.66
-5.147709,-63.68511,5.386,5.693
-4.735114,-53.69863,5.443,5.668
-4.189105,-43.720095,5.519,5.613
-3.494838,-33.751409,5.594,5.558
-2.675757,-23.791245,5.646,5.617
-1.768145,-13.83719,5.683,5.743
-0.808296,-3.886832,5.72,5.869
