# x_m,y_m,w_tr_right_m,w_tr_left_m
522.648911,176.156063,6.077,6.527
526.694128,167.01817,6.68,6.992
529.876563,157.502738,7.214,7.222
531.726481,147.704243,7.541,7.621
531.841448,137.755784,7.308,7.541
530.465804,127.828048,6.865,6.915
528.076031,118.091397,6.304,6.431
525.080418,108.553912,6.027,6.144
521.833516,99.121844,5.936,6.024
518.426586,89.747281,5.874,5.936
514.663653,80.441846,5.738,6.003
510.213598,71.440047,5.891,6.058
504.617766,63.211843,6.03,5.89
497.65558,56.131585,5.749,6.063
489.550525,50.378745,5.862,6.369
480.620629,45.914041,5.887,6.31
471.334624,42.070594,5.913,6.25
462.130294,38.141204,5.938,6.19
453.095559,33.90067,5.968,6.126
444.176104,29.356563,6.239,5.806
435.218848,24.864132,6.054,5.823
426.043696,20.907146,5.555,6.029
416.560297,18.020771,5.533,6.147
406.7391,16.743967,6.175,5.611
396.67842,16.917815,5.911,6.005
386.608467,17.659708,5.911,6.11
376.687921,18.604936,5.839,6.17
366.937473,20.360061,5.926,6.046
357.329411,23.140272,6.065,5.926
347.775621,26.295747,5.763,6.216
338.243327,29.374047,5.909,5.877
328.889549,32.803619,5.667,6.027
319.896511,37.102596,5.359,6.261
311.383051,42.341763,5.88,5.994
303.445921,48.436018,6.014,5.928
296.181848,55.300097,5.841,6.014
289.6667,62.840798,5.809,6.091
283.754692,70.880532,6.079,6.032
278.166355,79.19082,6.14,6.032
272.620377,87.54248,6.202,6.032
266.837838,95.708269,6.197,6.055
260.734029,103.618434,6.054,6.125
254.558799,111.474522,6.017,6.137
248.510477,119.436484,6.085,6.092
242.532255,127.457922,6.141,5.963
236.540873,135.47101,6.174,5.834
230.517563,143.459962,5.943,5.993
224.45563,151.418735,5.736,6.135
218.348378,159.341284,5.921,6.003
212.189112,167.221567,6.105,5.87
205.971136,175.05354,6.174,5.901
199.687754,182.831159,6.217,5.968
193.332271,190.548382,6.259,6.035
186.893632,198.195728,6.238,6.033
180.260499,205.68471,6.151,5.961
173.216691,212.836947,5.977,5.879
165.192353,218.636807,5.734,5.798
155.670066,221.55835,6.132,5.962
145.677972,222.318008,6.47,6.412
135.719821,221.304551,6.56,6.49
126.079533,218.80063,6.438,6.476
116.721324,215.317415,6.75,6.179
107.510192,211.411059,6.63,6.457
98.377966,207.328341,6.474,6.628
89.295238,203.136746,6.377,6.661
80.233075,198.901565,6.354,6.669
71.16272,194.687675,6.36,6.668
62.068206,190.530266,6.366,6.667
52.954732,186.415372,6.372,6.666
43.829485,182.324415,6.377,6.665
34.699652,178.238821,6.383,6.664
25.570919,174.144513,6.389,6.663
16.44465,170.040372,6.395,6.662
7.321435,165.927598,6.401,6.661
-1.798132,161.807388,6.407,6.66
-10.913462,157.680943,6.413,6.659
-20.023963,153.549459,6.419,6.658
-29.129043,149.414137,6.425,6.657
-38.228111,145.276174,6.431,6.656
-47.321045,141.137148,6.437,6.655
-56.417795,137.006756,6.443,6.654
-65.538004,132.902509,6.449,6.653
-74.701709,128.842234,6.455,6.652
-83.928687,124.843435,6.522,6.468
-93.01498,120.640956,6.671,6.044
-101.123624,115.169934,7.149,6.743
-107.621534,107.577886,8.728,8.818
-112.2516,98.614803,9.892,9.566
-109.906659,89.592594,9.28,8.558
-102.377621,82.967133,7.134,7.56
-94.357667,76.962933,7.129,7.068
-86.442205,70.852374,7.15,6.903
-78.542384,64.726905,7.188,6.944
-70.616199,58.630208,7.225,6.986
-62.670354,52.554907,7.263,7.028
-54.713348,46.491742,7.301,7.069
-46.753625,40.431514,7.339,7.111
-38.796321,34.368629,7.376,7.153
-30.841482,28.303044,7.414,7.194
-22.888722,22.235186,7.452,7.236
-14.93765,16.165486,7.49,7.278
-6.987881,10.094372,7.527,7.319
